Word,Conc.M,Conc.SD,Category
roadsweeper,4.85,0.37,Concrete
traindriver,4.54,0.71,Concrete
tush,4.45,1.01,Concrete
hairdress,3.93,1.28,Concrete
pharmaceutics,3.77,1.41,Concrete
hoover,3.76,1.23,Concrete
shopkeeping,3.18,1.19,Concrete
pushiness,2.48,1.24,Abstract
underdevelop,2.37,1.4,Abstract
tirelessness,2.28,1.28,Abstract
oldfashioned,2.26,1.02,Abstract
wellmannered,2.25,1.14,Abstract
dismissiveness,1.83,1.0,Abstract
spitefulness,1.8,0.76,Abstract
untruthfulness,1.73,0.92,Abstract
dispiritedness,1.56,0.71,Abstract
sled,5.0,0.0,Concrete
plunger,4.96,0.2,Concrete
human,4.93,0.26,Concrete
waterbed,4.93,0.27,Concrete
cymbal,4.92,0.28,Concrete
ginger,4.92,0.27,Concrete
bobsled,4.9,0.41,Concrete
cardboard,4.9,0.41,Concrete
olive,4.9,0.31,Concrete
dogsled,4.89,0.32,Concrete
rubber,4.86,0.74,Concrete
soybean,4.82,0.77,Concrete
tangerine,4.81,0.62,Concrete
headrest,4.8,0.76,Concrete
eucalyptus,4.77,0.57,Concrete
saltwater,4.77,0.82,Concrete
armrest,4.76,0.83,Concrete
paramedic,4.74,0.45,Concrete
liquid,4.72,0.54,Concrete
billfold,4.71,1.0,Concrete
canine,4.71,0.6,Concrete
flowerbed,4.71,0.6,Concrete
soy,4.7,0.6,Concrete
bald,4.69,0.47,Concrete
lilac,4.69,0.97,Concrete
hemorrhoid,4.68,0.72,Concrete
orange,4.66,0.9,Concrete
arachnid,4.65,0.69,Concrete
underarm,4.63,0.72,Concrete
barefoot,4.62,0.68,Concrete
bearded,4.62,0.7,Concrete
thyroid,4.61,0.74,Concrete
wooden,4.61,0.63,Concrete
sleeveless,4.6,0.5,Concrete
concrete,4.59,1.05,Concrete
panty,4.59,0.91,Concrete
pregnant,4.59,0.89,Concrete
helmeted,4.58,0.7,Concrete
hula,4.58,0.64,Concrete
female,4.57,0.88,Concrete
crematory,4.56,0.58,Concrete
pigtailed,4.55,0.78,Concrete
sphincter,4.54,0.99,Concrete
backrest,4.52,0.92,Concrete
blonde,4.52,1.09,Concrete
farmhand,4.52,1.01,Concrete
fat,4.52,0.85,Concrete
hairless,4.52,0.94,Concrete
afghan,4.5,0.92,Concrete
binocular,4.5,1.03,Concrete
naked,4.5,1.0,Concrete
hairy,4.48,0.98,Concrete
saline,4.48,0.94,Concrete
sudsy,4.48,1.0,Concrete
wet,4.46,0.58,Concrete
wooded,4.46,0.84,Concrete
male,4.45,1.02,Concrete
rusted,4.44,0.85,Concrete
aquamarine,4.43,0.92,Concrete
shirtless,4.43,0.97,Concrete
headless,4.42,0.95,Concrete
solid,4.42,0.81,Concrete
beaded,4.41,1.08,Concrete
blond,4.41,1.12,Concrete
soapy,4.41,0.93,Concrete
woodcutting,4.41,0.68,Concrete
prosthetic,4.4,1.04,Concrete
roast,4.4,0.97,Concrete
tartar,4.4,1.13,Concrete
newborn,4.39,1.03,Concrete
feline,4.38,0.98,Concrete
undercooked,4.38,0.71,Concrete
vertebrate,4.38,0.9,Concrete
bloodstained,4.37,1.18,Concrete
flatbed,4.37,0.97,Concrete
joint,4.37,1.08,Concrete
preschool,4.37,1.04,Concrete
beardless,4.36,0.91,Concrete
indigo,4.36,0.99,Concrete
frozen,4.34,1.2,Concrete
barefooted,4.33,1.3,Concrete
hashish,4.33,1.33,Concrete
jeweled,4.33,0.78,Concrete
mummified,4.33,0.62,Concrete
paralegal,4.33,0.99,Concrete
pleated,4.33,1.04,Concrete
puffy,4.33,0.92,Concrete
grassy,4.32,1.06,Concrete
muddy,4.32,0.95,Concrete
mustached,4.32,0.94,Concrete
rainy,4.32,1.02,Concrete
roundtable,4.32,1.12,Concrete
uncircumcised,4.32,1.12,Concrete
acrylic,4.31,0.84,Concrete
bottled,4.31,1.19,Concrete
hot,4.31,1.0,Concrete
sunlit,4.31,1.01,Concrete
euro,4.3,1.23,Concrete
giant,4.3,1.22,Concrete
yellow,4.3,1.06,Concrete
capillary,4.29,1.15,Concrete
dark,4.29,1.15,Concrete
decimal,4.29,1.15,Concrete
freshwater,4.29,1.12,Concrete
pimpled,4.29,1.01,Concrete
pygmy,4.29,1.16,Concrete
redheaded,4.29,0.98,Concrete
wrinkled,4.29,1.16,Concrete
abdominal,4.28,1.16,Concrete
bobsledder,4.28,1.02,Concrete
nude,4.28,1.1,Concrete
gunmetal,4.27,1.04,Concrete
bloodshot,4.26,0.96,Concrete
thorny,4.26,0.93,Concrete
toothless,4.26,0.98,Concrete
civilian,4.25,1.21,Concrete
handmade,4.25,0.97,Concrete
marine,4.25,1.11,Concrete
octagonal,4.25,0.9,Concrete
quilted,4.25,0.74,Concrete
snowy,4.25,0.97,Concrete
unshaved,4.25,1.04,Concrete
dishwashing,4.24,1.09,Concrete
red,4.24,1.36,Concrete
seamed,4.24,0.87,Concrete
treeless,4.24,1.02,Concrete
unshaven,4.24,1.12,Concrete
dirty,4.23,1.14,Concrete
grilled,4.23,0.97,Concrete
caged,4.22,0.97,Concrete
icy,4.22,0.97,Concrete
scaly,4.22,1.13,Concrete
cubical,4.21,1.17,Concrete
houseguest,4.21,0.99,Concrete
padded,4.21,1.01,Concrete
seedless,4.21,1.1,Concrete
sunny,4.2,1.12,Concrete
automotive,4.19,1.11,Concrete
baked,4.19,1.0,Concrete
bowlegged,4.19,0.85,Concrete
dewy,4.19,0.79,Concrete
genital,4.19,1.44,Concrete
khaki,4.19,1.1,Concrete
sequined,4.19,0.98,Concrete
duplex,4.18,1.16,Concrete
longhaired,4.18,1.22,Concrete
sweaty,4.18,1.06,Concrete
forehand,4.17,1.26,Concrete
unshelled,4.17,0.98,Concrete
furrier,4.16,1.37,Concrete
stutterer,4.16,0.8,Concrete
centerfold,4.15,1.13,Concrete
infomercial,4.15,1.19,Concrete
leftover,4.15,1.06,Concrete
chalky,4.14,1.03,Concrete
crusty,4.14,1.04,Concrete
naval,4.14,1.16,Concrete
skintight,4.14,0.92,Concrete
tanned,4.14,1.24,Concrete
toeless,4.14,1.24,Concrete
whiskered,4.14,1.25,Concrete
swelling,4.13,0.92,Concrete
silky,4.12,0.99,Concrete
unpaved,4.12,1.03,Concrete
wastewater,4.12,1.17,Concrete
corded,4.11,1.22,Concrete
eyeless,4.11,1.15,Concrete
fried,4.11,1.05,Concrete
grey,4.11,1.37,Concrete
manicured,4.11,0.89,Concrete
minty,4.11,1.12,Concrete
multicolored,4.11,1.26,Concrete
perforated,4.11,0.97,Concrete
quadriplegic,4.11,1.4,Concrete
rectangular,4.11,1.17,Concrete
sockless,4.11,1.13,Concrete
sole,4.11,1.22,Concrete
topless,4.11,1.1,Concrete
bifocal,4.1,1.12,Concrete
waxy,4.1,0.99,Concrete
bicuspid,4.09,1.31,Concrete
fluorine,4.09,1.47,Concrete
bloody,4.08,1.25,Concrete
starry,4.08,1.15,Concrete
sugared,4.08,1.15,Concrete
bathing,4.07,0.96,Concrete
blooming,4.07,0.92,Concrete
breaded,4.07,1.25,Concrete
bronzed,4.07,0.96,Concrete
creaky,4.07,1.11,Concrete
dead,4.07,1.27,Concrete
dorsal,4.07,1.17,Concrete
earless,4.07,1.16,Concrete
green,4.07,1.22,Concrete
hieroglyphic,4.07,1.36,Concrete
legless,4.07,1.3,Concrete
pubic,4.07,1.3,Concrete
spiky,4.07,1.25,Concrete
stagehand,4.07,1.04,Concrete
tabloid,4.07,1.18,Concrete
taller,4.07,1.11,Concrete
triangular,4.07,1.2,Concrete
underground,4.07,1.17,Concrete
bioluminescent,4.05,1.16,Concrete
blinder,4.04,1.22,Concrete
ceramic,4.04,1.11,Concrete
crispy,4.04,1.08,Concrete
cupful,4.04,1.43,Concrete
freezing,4.04,1.14,Concrete
glazed,4.04,0.96,Concrete
lounger,4.04,1.26,Concrete
minced,4.04,1.14,Concrete
oval,4.04,1.4,Concrete
overcast,4.04,1.13,Concrete
pebbled,4.04,1.21,Concrete
purple,4.04,1.43,Concrete
scarlet,4.04,1.19,Concrete
serrated,4.04,1.19,Concrete
smoky,4.04,1.32,Concrete
stinging,4.04,1.19,Concrete
striped,4.04,1.19,Concrete
stubbly,4.04,1.29,Concrete
aboveground,4.03,1.24,Concrete
blind,4.03,1.15,Concrete
metallic,4.03,1.02,Concrete
salted,4.03,1.27,Concrete
bipedal,4.0,1.18,Concrete
cloudy,4.0,1.31,Concrete
colored,4.0,1.07,Concrete
comic,4.0,1.25,Concrete
crimson,4.0,1.44,Concrete
evergreen,4.0,1.39,Concrete
featherless,4.0,1.15,Concrete
frosted,4.0,1.31,Concrete
horned,4.0,1.22,Concrete
invertebrate,4.0,1.44,Concrete
mashed,4.0,1.15,Concrete
mauve,4.0,1.41,Concrete
meatpacking,4.0,0.9,Concrete
military,4.0,1.13,Concrete
moist,4.0,0.98,Concrete
paraplegic,4.0,1.23,Concrete
pastel,4.0,1.49,Concrete
plump,4.0,1.11,Concrete
reclining,4.0,1.05,Concrete
solar,4.0,1.07,Concrete
sweet,4.0,1.13,Concrete
thick,4.0,0.95,Concrete
typewritten,4.0,1.2,Concrete
unpeeled,4.0,1.13,Concrete
collarless,3.97,1.15,Concrete
deceased,3.97,1.22,Concrete
hexagonal,3.97,1.32,Concrete
pointy,3.97,1.21,Concrete
springy,3.97,0.94,Concrete
steroid,3.97,1.3,Concrete
unbuckled,3.97,1.35,Concrete
cursive,3.96,1.32,Concrete
diagonal,3.96,1.26,Concrete
equestrian,3.96,1.2,Concrete
feathered,3.96,1.32,Concrete
flaming,3.96,1.19,Concrete
furry,3.96,1.3,Concrete
fuzzy,3.96,1.18,Concrete
hind,3.96,1.43,Concrete
humpbacked,3.96,1.4,Concrete
juicy,3.96,1.09,Concrete
pyrotechnic,3.96,1.02,Concrete
stormy,3.96,1.13,Concrete
woolly,3.96,1.14,Concrete
stationary,3.95,1.0,Concrete
slippery,3.94,1.12,Concrete
anesthetic,3.93,1.15,Concrete
balding,3.93,1.25,Concrete
bovine,3.93,1.47,Concrete
fecal,3.93,1.33,Concrete
frilly,3.93,1.21,Concrete
glittering,3.93,1.26,Concrete
greased,3.93,1.41,Concrete
handheld,3.93,1.33,Concrete
inflated,3.93,0.94,Concrete
interstate,3.93,1.46,Concrete
laminated,3.93,1.41,Concrete
moldy,3.93,1.28,Concrete
northeastern,3.93,1.2,Concrete
outdoor,3.93,1.19,Concrete
pink,3.93,1.33,Concrete
salty,3.93,1.44,Concrete
scrambled,3.93,0.94,Concrete
sculptured,3.93,0.94,Concrete
slim,3.93,1.08,Concrete
strapless,3.93,1.0,Concrete
volcanic,3.93,1.36,Concrete
watermarked,3.93,1.16,Concrete
watery,3.93,1.13,Concrete
braless,3.92,1.32,Concrete
bright,3.92,0.93,Concrete
deepwater,3.92,1.19,Concrete
fleshless,3.92,1.29,Concrete
forkful,3.92,1.29,Concrete
hardboiled,3.92,1.2,Concrete
metacarpal,3.92,1.56,Concrete
subtotal,3.92,1.35,Concrete
taut,3.92,1.16,Concrete
pickled,3.91,1.08,Concrete
frosty,3.9,1.23,Concrete
gated,3.9,1.23,Concrete
hooded,3.9,1.32,Concrete
jellied,3.9,1.11,Concrete
motorized,3.9,1.08,Concrete
phosphorous,3.9,1.37,Concrete
recycled,3.9,1.24,Concrete
round,3.9,1.4,Concrete
unsalted,3.9,1.12,Concrete
velvety,3.9,1.12,Concrete
bulletproof,3.89,1.31,Concrete
coastal,3.89,1.29,Concrete
contraceptive,3.89,1.42,Concrete
dimpled,3.89,1.15,Concrete
leafy,3.89,1.28,Concrete
prickly,3.89,1.4,Concrete
sugarless,3.89,1.42,Concrete
sugary,3.89,1.37,Concrete
white,3.89,1.29,Concrete
apache,3.88,1.24,Concrete
backhand,3.88,1.33,Concrete
frothy,3.88,1.3,Concrete
haired,3.88,1.37,Concrete
hilly,3.88,1.36,Concrete
powdered,3.88,1.37,Concrete
soft,3.88,1.45,Concrete
umbilical,3.88,1.27,Concrete
waxed,3.88,1.05,Concrete
wigless,3.88,1.19,Concrete
rotten,3.87,1.48,Concrete
chemical,3.86,1.24,Concrete
florescent,3.86,1.13,Concrete
fluffy,3.86,1.04,Concrete
freckled,3.86,1.3,Concrete
roundabout,3.86,1.28,Concrete
sharp,3.86,1.22,Concrete
smashing,3.86,1.24,Concrete
stillborn,3.86,1.48,Concrete
thirsty,3.86,1.36,Concrete
uncooked,3.86,1.13,Concrete
windowless,3.86,1.08,Concrete
windy,3.86,1.22,Concrete
woolen,3.86,1.27,Concrete
antiseptic,3.85,1.17,Concrete
cold,3.85,1.3,Concrete
crisper,3.85,1.04,Concrete
curdled,3.85,1.46,Concrete
gloved,3.85,1.29,Concrete
meatless,3.85,1.23,Concrete
southernmost,3.85,1.32,Concrete
jaundiced,3.84,1.25,Concrete
maroon,3.84,1.21,Concrete
varicose,3.84,1.21,Concrete
webbed,3.84,1.31,Concrete
autographed,3.83,1.17,Concrete
cordless,3.83,1.31,Concrete
frizzy,3.83,1.37,Concrete
gymnastic,3.83,1.26,Concrete
nasal,3.83,1.26,Concrete
oily,3.83,1.15,Concrete
rough,3.83,1.31,Concrete
soldering,3.83,1.31,Concrete
spherical,3.83,1.1,Concrete
thin,3.83,1.28,Concrete
undersea,3.83,1.28,Concrete
ablaze,3.82,1.16,Concrete
arched,3.82,1.28,Concrete
greasy,3.82,1.33,Concrete
intestinal,3.82,1.12,Concrete
muscular,3.82,1.31,Concrete
shuttered,3.82,1.28,Concrete
backpedal,3.81,1.41,Concrete
barbed,3.81,1.18,Concrete
crunchy,3.81,1.22,Concrete
damp,3.81,1.3,Concrete
dotted,3.81,1.3,Concrete
flatulent,3.81,1.42,Concrete
floppy,3.81,1.3,Concrete
lidless,3.81,1.24,Concrete
masked,3.81,1.52,Concrete
overcrowded,3.81,1.24,Concrete
quintuple,3.81,1.36,Concrete
runaway,3.81,1.24,Concrete
sectional,3.81,1.36,Concrete
skinless,3.81,1.44,Concrete
smooth,3.81,1.24,Concrete
unthawed,3.81,1.23,Concrete
foggy,3.8,1.47,Concrete
latticed,3.8,1.08,Concrete
onstage,3.8,1.32,Concrete
seamless,3.8,1.19,Concrete
unplugged,3.8,1.3,Concrete
circular,3.79,1.34,Concrete
crooked,3.79,1.14,Concrete
dusty,3.79,1.32,Concrete
flowered,3.79,1.38,Concrete
fossilized,3.79,1.45,Concrete
frayed,3.79,1.24,Concrete
iced,3.79,1.2,Concrete
ingest,3.79,1.37,Concrete
overnighter,3.79,1.29,Concrete
pale,3.79,1.32,Concrete
perfumed,3.79,1.15,Concrete
phosphorescent,3.79,1.22,Concrete
steaming,3.79,1.23,Concrete
unbleached,3.79,1.42,Concrete
colorful,3.78,1.42,Concrete
decomposed,3.78,1.09,Concrete
fluorescent,3.78,1.34,Concrete
jacketed,3.78,1.13,Concrete
neuromuscular,3.78,1.31,Concrete
sable,3.78,1.59,Concrete
wetter,3.78,1.25,Concrete
aflame,3.77,1.34,Concrete
corseted,3.77,1.34,Concrete
dry,3.77,1.41,Concrete
fringed,3.77,1.45,Concrete
limbless,3.77,1.39,Concrete
stable,3.77,1.41,Concrete
syrupy,3.77,1.18,Concrete
tinkling,3.77,1.11,Concrete
unbaked,3.77,1.45,Concrete
black,3.76,1.64,Concrete
blue,3.76,1.45,Concrete
bumpy,3.76,1.33,Concrete
chubby,3.76,1.27,Concrete
coaxial,3.76,1.59,Concrete
cockeyed,3.76,1.3,Concrete
corrugated,3.76,1.42,Concrete
hard,3.76,1.3,Concrete
legible,3.76,1.27,Concrete
porous,3.76,1.2,Concrete
rippling,3.76,1.3,Concrete
steep,3.76,1.18,Concrete
antique,3.75,1.17,Concrete
bushy,3.75,1.27,Concrete
carsick,3.75,1.29,Concrete
floral,3.75,1.27,Concrete
monogrammed,3.75,1.43,Concrete
backless,3.74,1.32,Concrete
erect,3.74,1.26,Concrete
explosive,3.74,1.26,Concrete
faint,3.74,1.02,Concrete
gelatinous,3.74,1.2,Concrete
jagged,3.74,1.25,Concrete
jerky,3.74,1.51,Concrete
outer,3.74,1.32,Concrete
pelvic,3.74,1.29,Concrete
septic,3.74,1.46,Concrete
thatched,3.74,1.32,Concrete
bronchial,3.73,1.37,Concrete
elastic,3.73,1.22,Concrete
stinky,3.73,1.14,Concrete
auburn,3.72,1.43,Concrete
bleached,3.72,1.24,Concrete
boneless,3.72,1.33,Concrete
breezy,3.72,1.19,Concrete
granulated,3.72,1.22,Concrete
musical,3.72,1.31,Concrete
pudgy,3.72,1.07,Concrete
spongy,3.72,1.24,Concrete
sunken,3.72,1.25,Concrete
trucking,3.72,1.22,Concrete
armless,3.71,1.3,Concrete
asleep,3.71,1.41,Concrete
bladed,3.71,1.27,Concrete
crimping,3.71,1.15,Concrete
glassy,3.71,1.3,Concrete
nondrinking,3.71,1.21,Concrete
potted,3.71,0.98,Concrete
shaven,3.71,1.3,Concrete
slinky,3.71,1.65,Concrete
swampy,3.71,1.08,Concrete
testicular,3.71,1.23,Concrete
uninhabited,3.71,1.38,Concrete
wingless,3.71,1.38,Concrete
alpine,3.7,1.13,Concrete
blurry,3.7,1.15,Concrete
gummy,3.7,1.39,Concrete
mitochondrial,3.7,1.33,Concrete
obese,3.7,1.46,Concrete
overripe,3.7,1.18,Concrete
slushy,3.7,1.44,Concrete
stubby,3.7,1.07,Concrete
tattered,3.7,1.14,Concrete
caped,3.69,1.49,Concrete
chunky,3.69,1.14,Concrete
crisp,3.69,1.2,Concrete
drier,3.69,1.44,Concrete
fungal,3.69,1.26,Concrete
marbled,3.69,1.28,Concrete
scabby,3.69,1.46,Concrete
semisolid,3.69,1.16,Concrete
sunless,3.69,1.44,Concrete
canned,3.68,1.25,Concrete
elderly,3.68,1.35,Concrete
fainter,3.68,1.22,Concrete
fizzy,3.68,1.28,Concrete
floury,3.68,1.39,Concrete
humanoid,3.68,1.38,Concrete
potbellied,3.68,1.22,Concrete
tangy,3.68,1.03,Concrete
winged,3.68,1.31,Concrete
bony,3.67,1.33,Concrete
breathless,3.67,1.27,Concrete
calligraphic,3.67,1.27,Concrete
checkered,3.67,0.96,Concrete
flowering,3.67,1.11,Concrete
little,3.67,1.32,Concrete
luminescent,3.67,1.41,Concrete
mountainous,3.67,1.14,Concrete
roasted,3.67,1.09,Concrete
silent,3.67,1.45,Concrete
skeletal,3.67,1.47,Concrete
weedy,3.67,1.14,Concrete
big,3.66,1.56,Concrete
handicapped,3.66,1.23,Concrete
hydraulic,3.66,1.32,Concrete
peppery,3.66,1.17,Concrete
unsweetened,3.66,1.29,Concrete
vaginal,3.66,1.61,Concrete
mossy,3.65,1.26,Concrete
neonatal,3.65,1.23,Concrete
offshore,3.65,1.38,Concrete
amphibious,3.64,1.31,Concrete
counterfeit,3.64,1.19,Concrete
deformed,3.64,1.13,Concrete
fetal,3.64,1.52,Concrete
gooey,3.64,1.28,Concrete
hornless,3.64,1.52,Concrete
indoor,3.64,1.47,Concrete
lukewarm,3.64,1.32,Concrete
malleable,3.64,1.34,Concrete
nonmetallic,3.64,1.34,Concrete
squishy,3.64,1.28,Concrete
terrorist,3.64,1.39,Concrete
trapezoidal,3.64,1.54,Concrete
wounded,3.64,1.47,Concrete
adjacent,3.63,1.36,Concrete
ambidextrous,3.63,1.47,Concrete
charred,3.63,1.5,Concrete
clumpy,3.63,1.25,Concrete
digital,3.63,1.28,Concrete
dingy,3.63,1.33,Concrete
mammary,3.63,1.21,Concrete
prepackaged,3.63,1.13,Concrete
sickbed,3.63,1.07,Concrete
steamy,3.63,1.04,Concrete
televised,3.63,1.33,Concrete
throbbing,3.63,1.28,Concrete
bagful,3.62,1.15,Concrete
comatose,3.62,1.3,Concrete
creamy,3.62,1.39,Concrete
dwarfish,3.62,1.6,Concrete
facial,3.62,1.3,Concrete
feathery,3.62,1.29,Concrete
flaccid,3.62,1.39,Concrete
onshore,3.62,1.3,Concrete
opaque,3.62,1.45,Concrete
overhand,3.62,1.21,Concrete
sheltered,3.62,1.06,Concrete
spinal,3.62,1.35,Concrete
stiff,3.62,1.32,Concrete
unwrinkled,3.62,1.35,Concrete
baggy,3.61,1.4,Concrete
chewable,3.61,1.13,Concrete
costumed,3.61,1.5,Concrete
flammable,3.61,1.37,Concrete
short,3.61,1.41,Concrete
symmetrical,3.61,1.36,Concrete
webby,3.61,1.03,Concrete
armed,3.6,1.28,Concrete
bruising,3.6,1.32,Concrete
candlelit,3.6,1.19,Concrete
esophageal,3.6,1.41,Concrete
waterproof,3.6,1.35,Concrete
wheezy,3.6,1.19,Concrete
armored,3.59,1.45,Concrete
blackened,3.59,1.27,Concrete
cervical,3.59,1.32,Concrete
drinkable,3.59,1.45,Concrete
full,3.59,1.19,Concrete
habitant,3.59,1.5,Concrete
husky,3.59,1.45,Concrete
lumpy,3.59,1.32,Concrete
messy,3.59,1.42,Concrete
oblong,3.59,1.22,Concrete
reformatory,3.59,1.45,Concrete
ribbed,3.59,1.31,Concrete
sloping,3.59,1.34,Concrete
soluble,3.59,1.5,Concrete
speckled,3.59,1.62,Concrete
sticky,3.59,1.55,Concrete
suntanned,3.59,1.53,Concrete
triple,3.59,1.22,Concrete
upright,3.59,1.48,Concrete
commissary,3.58,1.64,Concrete
crateful,3.58,1.35,Concrete
fallopian,3.58,1.42,Concrete
humpy,3.58,1.39,Concrete
hypodermic,3.58,1.58,Concrete
legged,3.58,1.06,Concrete
pliable,3.58,1.47,Concrete
soaked,3.58,1.42,Concrete
windproof,3.58,1.28,Concrete
bristled,3.57,1.6,Concrete
gilded,3.57,1.57,Concrete
herbal,3.57,1.17,Concrete
hyphenated,3.57,1.5,Concrete
lacerated,3.57,1.19,Concrete
leaky,3.57,1.33,Concrete
monthly,3.57,1.53,Concrete
mushy,3.57,1.32,Concrete
overweight,3.57,1.41,Concrete
skinny,3.57,1.55,Concrete
stony,3.57,1.23,Concrete
upward,3.57,1.48,Concrete
wetted,3.57,1.32,Concrete
additive,3.56,1.5,Concrete
brittle,3.56,1.37,Concrete
busty,3.56,1.19,Concrete
chilly,3.56,1.34,Concrete
electric,3.56,1.33,Concrete
epidermal,3.56,1.45,Concrete
fleshy,3.56,1.01,Concrete
hatless,3.56,1.66,Concrete
inky,3.56,1.37,Concrete
lunar,3.56,1.22,Concrete
noisy,3.56,1.5,Concrete
nonorganic,3.56,1.53,Concrete
prostrate,3.56,1.69,Concrete
slender,3.56,1.05,Concrete
warm,3.56,1.42,Concrete
waterlogged,3.56,1.36,Concrete
antifungal,3.55,1.12,Concrete
clear,3.55,1.3,Concrete
edible,3.55,1.38,Concrete
marshy,3.55,1.24,Concrete
petite,3.55,1.43,Concrete
plumed,3.55,1.32,Concrete
powdery,3.55,1.12,Concrete
pulpy,3.55,1.27,Concrete
searing,3.55,1.15,Concrete
acidic,3.54,1.39,Concrete
backlit,3.54,1.14,Concrete
bacterial,3.54,1.37,Concrete
balsamic,3.54,1.28,Concrete
botanical,3.54,1.32,Concrete
branchy,3.54,1.32,Concrete
cylindrical,3.54,1.53,Concrete
horsey,3.54,1.35,Concrete
huge,3.54,1.35,Concrete
knobby,3.54,1.07,Concrete
oaken,3.54,1.36,Concrete
overhanging,3.54,1.28,Concrete
revolving,3.54,1.33,Concrete
saggy,3.54,1.24,Concrete
scalded,3.54,1.33,Concrete
semiautomatic,3.54,1.23,Concrete
shorter,3.54,1.4,Concrete
sparkly,3.54,1.42,Concrete
unarmed,3.54,1.35,Concrete
warty,3.54,1.63,Concrete
bigger,3.53,1.31,Concrete
concave,3.53,1.41,Concrete
cool,3.53,1.07,Concrete
filthy,3.53,1.36,Concrete
mating,3.53,1.31,Concrete
unsigned,3.53,1.38,Concrete
alien,3.52,1.45,Concrete
barebacked,3.52,1.42,Concrete
bubbly,3.52,1.24,Concrete
cloudless,3.52,1.43,Concrete
flyaway,3.52,1.3,Concrete
gangrenous,3.52,1.45,Concrete
manned,3.52,1.36,Concrete
milky,3.52,1.34,Concrete
nearsighted,3.52,1.28,Concrete
nondairy,3.52,1.62,Concrete
patterned,3.52,1.29,Concrete
prophylactic,3.52,1.47,Concrete
ridged,3.52,1.41,Concrete
southeastern,3.52,1.37,Concrete
teary,3.52,1.31,Concrete
teenage,3.52,1.48,Concrete
tutoring,3.52,1.06,Concrete
veterinary,3.52,1.34,Concrete
wrinkly,3.52,1.4,Concrete
airsick,3.5,1.29,Concrete
anterior,3.5,1.56,Concrete
asymmetric,3.5,1.37,Concrete
bombproof,3.5,1.33,Concrete
communist,3.5,1.58,Concrete
cranial,3.5,1.45,Concrete
elliptical,3.5,1.45,Concrete
furrowed,3.5,1.45,Concrete
greener,3.5,1.42,Concrete
identical,3.5,1.43,Concrete
junior,3.5,1.26,Concrete
lateral,3.5,1.3,Concrete
magnifying,3.5,1.4,Concrete
nonskid,3.5,1.27,Concrete
nonsurgical,3.5,1.37,Concrete
oriental,3.5,1.26,Concrete
serpentine,3.5,1.53,Concrete
shaded,3.5,1.4,Concrete
spermicidal,3.5,1.26,Concrete
stringy,3.5,1.21,Concrete
tearful,3.5,1.38,Concrete
textured,3.5,1.42,Concrete
uniformed,3.5,1.29,Concrete
unvarnished,3.5,1.14,Concrete
vacant,3.5,1.4,Concrete
wavy,3.5,1.4,Concrete
adolescent,3.48,1.45,Concrete
alkaline,3.48,1.55,Concrete
criminal,3.48,1.48,Concrete
darkened,3.48,1.31,Concrete
drunk,3.48,1.35,Concrete
glossy,3.48,1.4,Concrete
humid,3.48,1.09,Concrete
lactated,3.48,1.5,Concrete
moonlit,3.48,1.31,Concrete
rudderless,3.48,1.4,Concrete
soupy,3.48,1.12,Concrete
stale,3.48,1.58,Concrete
starless,3.48,1.48,Concrete
streaky,3.48,1.45,Concrete
vertical,3.48,1.6,Concrete
posterior,3.47,1.43,Concrete
tweeting,3.47,1.46,Concrete
beady,3.46,1.42,Concrete
buxom,3.46,1.38,Concrete
corneal,3.46,1.38,Concrete
funereal,3.46,1.64,Concrete
gray,3.46,1.53,Concrete
high,3.46,1.39,Concrete
horizontal,3.46,1.45,Concrete
meaty,3.46,1.26,Concrete
microscopic,3.46,1.5,Concrete
miniature,3.46,1.26,Concrete
putrid,3.46,1.3,Concrete
quivering,3.46,1.39,Concrete
reptilian,3.46,1.43,Concrete
rigid,3.46,1.41,Concrete
spindly,3.46,1.14,Concrete
withered,3.46,1.45,Concrete
airborne,3.45,1.57,Concrete
chocolaty,3.45,1.5,Concrete
clunky,3.45,1.12,Concrete
eldest,3.45,1.43,Concrete
elongated,3.45,1.06,Concrete
furless,3.45,1.47,Concrete
linear,3.45,1.35,Concrete
nutty,3.45,1.21,Concrete
oral,3.45,1.38,Concrete
pasty,3.45,1.5,Concrete
polygonal,3.45,1.6,Concrete
rotund,3.45,1.37,Concrete
shallow,3.45,1.4,Concrete
teenaged,3.45,1.35,Concrete
transsexual,3.45,1.66,Concrete
aquatic,3.44,1.39,Concrete
editorial,3.44,1.36,Concrete
flipping,3.44,1.34,Concrete
mass,3.44,1.6,Concrete
photoelectric,3.44,1.26,Concrete
ratty,3.44,1.39,Concrete
remote,3.44,1.48,Concrete
cartographic,3.43,1.7,Concrete
circulatory,3.43,1.45,Concrete
empty,3.43,1.5,Concrete
fucking,3.43,1.59,Concrete
globular,3.43,1.12,Concrete
painful,3.43,1.38,Concrete
polycarbonate,3.43,1.41,Concrete
recordable,3.43,1.22,Concrete
shattering,3.43,1.43,Concrete
stocky,3.43,1.07,Concrete
unburied,3.43,1.34,Concrete
unicellular,3.43,1.53,Concrete
unpolished,3.43,1.37,Concrete
urban,3.43,1.29,Concrete
yellowing,3.43,1.37,Concrete
airtight,3.42,1.53,Concrete
bendy,3.42,1.36,Concrete
birthing,3.42,1.32,Concrete
blubbery,3.42,1.39,Concrete
fireproof,3.42,1.45,Concrete
